text,label
"I love this product! It works great and exceeded my expectations.",positive
"This is the worst purchase I've ever made. Totally disappointed.",negative
"It was okay, nothing special. Does the job.",neutral
"Excellent quality and fast shipping. Highly recommend!",positive
"Broke after one use. Not worth the money.",negative
"Average experience, not bad but could be better.",neutral
"Fantastic! Will buy again.",positive
"Terrible customer service, won't order again.",negative
"Satisfied with the purchase, meets my needs.",positive
"It's fine, but not as described.",neutral
